,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,deg_9,deg_10,deg_11,deg_12,deg_13,deg_14,deg_15,deg_16,deg_17,deg_18,deg_19,deg_20
PC1,0.8448822773142187,2.6712359113642394,3.5780349947074788,4.245661655702282,4.791433750427788,5.163604715682153,5.459516865768723,5.646115059174573,5.7735991842394485,5.8457469152952575,5.871096960790686,5.869429695840391,5.8339987125501445,5.776861017940337,5.70396154406601,5.623875195077263,5.509904503239473,5.391583709024098,5.2599102683696675,5.1395470634258045
PC2,7.854643260305968,18.731372836184175,15.935910155551877,11.887883003658558,7.4269092571275275,4.200514441877239,1.7262903069763451,0.5651891030264528,0.05466701310712658,0.04803011271794569,0.41135882753721276,0.9739410280949797,1.673190032682892,2.4209850022324315,3.103994776755775,3.6758424047789195,4.261995808261858,4.718090675091021,5.0619378820215974,5.267254072010141
PC3,82.45244490358358,0.6841259523350843,0.5994525831085719,1.6776055991121843,2.577722516921532,2.5896323886312285,2.0281229611451757,1.407086925723486,0.865003418773336,0.4310438326555927,0.14466214515880668,0.014474362621289436,0.015310292102302923,0.12178339274393929,0.2852554979137752,0.45987479695797273,0.6799322904367091,0.8522251001765162,1.0089024018785795,1.105338638020316
PC4,7.652354509819238,23.11728037365814,12.412832128402282,1.527425361419446,0.5823362114955744,3.792220649927003,7.460444688849954,8.161761072298772,6.9623708924028,4.93479394692199,2.772438629579127,1.1369539434328322,0.17803337221629173,0.04264121610388601,0.559519120173964,1.417843843329816,2.7073275866004103,3.9152523535590773,4.986741414813675,5.679428684995721
PC5,0.8208346221008627,24.701427133059052,0.16894676591154018,9.917075732039434,14.948622058183092,8.015513272419277,0.6876165124153576,0.4632156715638107,3.234127087681672,5.851537884863258,6.847563675376013,5.663862458159253,3.483983732588367,1.343466086136149,0.17748940433342902,0.06791092413740761,1.0699313961504076,2.6259235862804884,4.355365167203059,5.555586829397954
PC6,0.2369788077221689,16.835694736455228,8.827769257844073,16.194573499262408,0.40156353957825447,3.9964863551154868,10.845925752505178,7.282558943460316,1.6869978499224294,0.07095188054632459,2.609795886869689,5.408618681490629,6.421777968781049,4.7853251473795755,2.2249768349079226,0.4657506879491673,0.15874810814285803,1.6685782200959902,4.042270628597165,5.8346572133741885
PC7,0.09087198737763473,9.85963937069331,26.740676382924157,0.627369735640494,13.542956837507331,8.871386148783248,0.15573041953531305,5.52236252882219,7.519153025232262,3.6932675992252673,0.1688737625436976,0.8632499804386176,3.7206663524872043,5.201371837032607,3.9595821372937574,1.7466019013708387,0.049185678030423986,0.6303383518609602,2.6582066799640685,4.378509283236625
PC8,0.033757986292351785,2.84439726235026,22.986273812797187,18.691801662304737,3.31675805307808,5.438487769854062,9.798807298025498,0.7688878580052844,2.404902595308454,7.230150957768672,5.175768979595346,0.8015759551350699,0.6197293480578269,3.8813571623519874,5.31145058583516,3.5970343952211277,0.6445821470257703,0.16125206968278083,2.097674880373303,4.195349220937001
PC9,0.012756693939730581,0.5303727801826106,8.047683127830576,26.345469987062515,9.352583075900455,8.928262562221404,5.299503037526037,9.137713509637962,0.8100597837431077,2.259804652128982,7.140530913419312,4.299998790492365,0.19279236141790038,1.667379315242299,4.711958275888902,4.462335385742988,1.4462476256035843,0.005270019945628975,1.6127963053778196,3.7364817966958697
PC10,0.00039099082850698537,0.020636534812928105,0.5741463522728497,6.60863157834269,22.72497010534156,5.467874671779609,12.939637502754426,1.3500798837992456,11.98695819709191,3.531907403871045,1.9800981686684613,8.694761255490008,5.243779962662246,0.021838919281803062,3.038044089262335,6.100013945684192,3.6942926123223816,0.22864609363251256,1.3923559164337087,4.40093581566772
