,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,deg_9,deg_10,deg_11,deg_12,deg_13,deg_14,deg_15,deg_16,deg_17,deg_18,deg_19,deg_20
PC1,0.09191747806125986,0.16343916028186878,0.1891569452784507,0.2060500341107053,0.21889343869627037,0.22723566435932,0.23365609056407502,0.23761555208307752,0.24028314931013053,0.2417797947574457,0.24230346594282728,0.24226905901993326,0.24153672003548746,0.24035101451710864,0.23882967872661912,0.23714711035720554,0.23473185772790775,0.2321978404082195,0.22934494257274712,0.2267056916670996
PC2,0.28026136480624597,0.4327975604850861,0.3991980730859291,0.34478809439507274,0.272523563332192,0.20495156603151973,0.13138836733045833,0.07517905978571778,0.02338097797508192,-0.02191577347892282,-0.06413726120884901,-0.09868845059554739,-0.1293518470174621,-0.15559514781099157,-0.1761815761297354,-0.19172486549164455,-0.20644601735712556,-0.21721166347806972,-0.22498750814259882,-0.2295049906213401
PC3,0.9080332863038865,0.08271190678101215,-0.07742432325235861,-0.12952241501424316,-0.16055287343805255,-0.1609233478595082,-0.1424121821033993,-0.11862069489441908,-0.09300555998290296,-0.06565392849293884,-0.03803447714361362,-0.012030944527047506,0.012373476513212817,0.034897477379309136,0.053409315471533166,0.06781406911238794,0.0824580069148357,0.09231603870273661,0.10044413381968005,0.10513508634230136
PC4,-0.27662889418531894,0.48080432998942657,0.35231849409876687,0.12358905135243356,-0.07631095671629169,-0.19473624854985275,-0.27313814616142423,-0.28568796040958344,-0.26386304956175277,-0.22214396113606127,-0.16650641517908932,-0.10662804243878962,-0.0421940010210328,0.02064974966044044,0.07480101069998747,0.11907324818488055,0.1645395875344414,0.1978699662293163,0.22331012997205646,0.238315519532315
PC5,-0.09059992395696934,0.4970053031211946,0.041103134419596295,-0.3149138887384841,-0.3866344792977353,-0.2831168181584993,-0.08292264542423605,0.06805994942429877,0.1798367895532411,0.24189952221662733,0.2616784988373331,0.23798870683625414,0.1866543257625809,0.11590798445905912,0.04212949137284107,-0.02605972450687221,-0.10343748818249637,-0.16204701744495295,-0.20869511655050915,-0.2357029238129632
PC6,-0.04868046915572701,0.4103132307939293,-0.2971156215658152,-0.4024248190564594,-0.0633690413039565,0.19991213957925333,0.3293315313252768,0.26986216747555253,0.12988448136411176,-0.02663679420394365,-0.16154862694773017,-0.2325643713359944,-0.25341227217285767,-0.2187538604774685,-0.14916356240409126,-0.06824592939869507,0.0398432062142165,0.1291734578036831,0.20105398848560962,0.24155035113562118
PC7,0.03014498090522446,-0.31400062692124214,0.5171138789756484,0.079206674948548,-0.3680075656492313,-0.2978487224881659,0.039462693716383966,0.2349970750631205,0.2742107405852707,0.19217876051284302,0.041094252949007065,-0.09291124692084471,-0.19289028882987355,-0.22806516255299947,-0.19898698794880426,-0.13215906708852174,-0.02217784435656991,0.07939385063472865,0.16304007728052844,0.20924887773263265
PC8,0.018373346535770718,-0.16865340975949047,0.47944002557981313,-0.4323401630927288,-0.1821196873783304,0.23320565537426535,0.31303046653681327,0.08768625080394785,-0.1550774837076116,-0.2688894002702351,-0.22750316436470386,-0.08953077432565128,0.07872289044857454,0.19701160276369478,0.2304658453184584,0.18965849296093037,0.08028587341654635,-0.04015620371533903,-0.14483352099473737,-0.20482551649970276
PC9,-0.011294553528019858,0.0728266970404817,-0.2836843867369259,0.513278384378911,-0.3058199319191026,-0.2988019839663285,0.23020649507618235,0.3022865116017908,0.09000332125777957,-0.15032646646977976,-0.26721771860075655,-0.2073643843694564,-0.04390812697188305,0.129127042684416,0.2170704557485634,0.2112424054432014,0.12026003598883481,-0.0072594903027891535,-0.12699591746894148,-0.19329981367543708
PC10,0.001977348802075611,-0.014365421961407226,0.07577244566944172,-0.257072588549279,0.47670714390851704,-0.23383487061983738,-0.3597170763635558,0.11619293798674882,0.34622186812926636,0.18793369585763606,-0.14071596102320666,-0.29486880566601154,-0.22899301217858692,-0.014777996914941843,0.17429985912967155,0.2469820630265322,0.19220542688286357,0.0478169523947849,-0.1179981320374907,-0.20978407507882288
